,en,yb,yb_b,word_type,word_type_label
3504,kidney,mbaŋ,,0,noun
3507,kill,lizwhɛ́," lezwhī - ńzwhí, zwhíɛ́ (ńzwhɛ́, zwhɛ́ɛ́)",1,verb
3509,kill in large numbers,lezwhiite - ńzwííté,zwhíítɛ́,1,verb
3510,kill the time,lezemte," lizemti - ńzémté, zémtɛ́ (ńzémtí, zémtá)",1,verb
3511,killing,legɔ’ne," ligɔ li - ŋ́gɔ’nē, gɔ’nɛ̄ (ŋ́gɔ ’l ī, gɔ’lā)",1,verb
3514,kind of birdie,ŋgazɔŋɔ,,0,noun
3515,kind of black fruit,mbhuɛ́,,0,noun
3516,kind of childhood diarrhea,aswhɛli livem,eswiŋlevem,0,noun
3518,kind of childhood illness,séŋné,,0,noun
3519,kind of curse,epe,epʉe,0,noun
3521,kind of dance,ndendɔŋ,ndindɔŋ,0,noun
3524,kind of edible insect,leseéŋ,liseéŋ,0,noun
3525,kind of fern (pt),ŋkyɛtméŋŋi,ŋkyɛtnnɛ,0,noun
3527,kind of game,esa’,,0,noun
3528,kind of hat,nju,,0,noun
3531,kind of long-tailed bird,siaasáŋá,sia-asáŋ,0,noun
3533,kind of mat used as a screen,ŋkyɛt,,0,noun
3534,kind of mosquito,aféŋ,,0,noun
3537,kind of nocturnal bird,vok,,0,noun
3538,kind of plant,kékyɔ́’,kʉ́kǝ,0,noun
3546,kind of plant (globimetula oreophila),tsápla,,0,noun
3547,kind of plant (grumilea venosa),sɛh ntsapá,sɛ́h-ntsábá,0,noun
3549,kind of plant (Lannea microcarpa),tekwhʉ̄,tikwhʉ,0,noun
3551,kind of plant (spathodea campanulata),mafú’,mefú’,0,noun
3553,kind of plant (Tricalysia),mbaptɛkwɛ́,mbapt’akwé,0,noun
3556,kind of shrub,ndeeti,ndɛɛte,0,noun
3560,kind of spice,malēm,mɛ́lēm,0,noun
3563,kind of sticky sauce,mpfʉ,,0,noun
3564,kind of traditional court,féem,,0,noun
3565,kind of traditional dance,lethu,,0,noun
3570,kind of traditional ritual of justification,nzo,nzɔ,0,noun
3572,kind of traditional wooden stool with three legs,akɔ’,,0,noun
3573,kind of trap,lwá’,,0,noun
3574,kind of tree,atsia,,0,noun
3575,kind of tree whose leaves are used as a funnel,ŋkeŋkāp,ŋkuŋkap,0,noun
3577,kind of vegetable,fifhia / mafhia,swíswhiɛ́,0,noun
3579,kind of yam,ŋgwɛ̄t,,0,noun
3580,kiss,lemaane - ḿmááné,máánɛ́,1,verb
3581,kitchen,kasi,kɛ́siŋ,0,noun
3583,Kitchen shelf,azi,,0,noun
3584,knavery,ŋgɛ́te,,0,noun
3585,knead the mud to make it to the,letsɔ̄ŋ," litsɔ̄ŋ - ńtsɔ́ŋ, tsɔ́ŋɔ́",1,verb
3586,knead unduly,letīp - ńtíp,típɛ́,1,verb
3587,knee,akukwí’tí,atswí’tɛ́khu,0,noun
3589,kneel,likwi’ti," letswi’te - útswí’té, tswí’tɛ́ (kwí’tá, ŋ́kwí’tí)",1,verb
3591,knife,pu’,,0,noun
3592,knock,letem," litēm - útém, témɛ́ (ńtém, témá)",1,verb
3594,know,lezhɛ̄," lizhɛ̄ - ńzhɛ́, zhɛ́ɛ́",1,verb
3597,kobièta (wife),ŋgwi,nzwí,0,noun
3599,kobièta (woman),mengwí,menzwí,0,noun
3601,kola,liphi,levho,0,noun
3603,laboriously accumulate,lelɔŋte," lilɔŋti - ńdɔ́ŋté, lɔ́ŋtɛ́ (ńdɔ́ŋtí, lɔ́ŋtá)",1,verb
3604,lack of consideration,ŋgwāk,,0,noun
3605,lack of sthg,lipɔ̄ŋ," lepūŋ - ḿbúŋ, púŋɔ́ (ḿbɔ̄ŋ, pɔ̄ŋɔ̄)",1,verb
3607,ladle,akʉ’ńnēk,,0,noun
3608,lair (nest),ŋka,,0,noun
3609,lame,apǝ́’ akhu,apwɔ’ɔ́khu,0,noun
3611,lame (lame),apǝ́’ akhu,apwɔ’ɔ́khu,0,noun
3613,lamp,láam,,0,noun
3614,lamp (fire),mmók,,0,noun
3615,lamp (light),mmók,,0,noun
3616,lamp (low),apwɛl,apwɛlɛ́,2,adjective
3618,lance,lekɔŋ,likɔŋ,0,noun
3619,land (country),alā’,,0,noun
3620,land (funds),ntwɛt,,0,noun
3621,landscape (country),alā’,,0,noun
3622,language,alā’,,0,noun
3625,lap,lelāp," lilāp - údáp, lápá (ńdáp, lábá)",1,verb
3626,large,kekɔ’ɔ,kukɔ ’ɔ,2,adjective
3628,large (wide),lefāŋ,lifāŋ,2,adjective
3630,large feathered hat,téŋ,,0,noun
3631,large plantation,féem,,0,noun
3632,largely,ŋkɔ́’ɔ́ lʉ́ee,ŋkɔ’ɔ́luɛ,2,adjective
3634,lassie (girl),momengwí,mɔmenzwí,0,noun
3636,last,ndiknzem / nzweknzem,nzoknzem,0,noun
3639,last warning,hák,,7,interjection
3640,late,mpfho,,0,noun
3641,later,ndá’,,5,adverb
3642,lath,lɛ́kɛ́ɛt,,0,noun
3643,lather,lefu’," lifu’ - éfu’, fu’ɔ̄ (ńfu’, fu’ɔ̄)",1,verb
3644,laugh,ligwi," lezwi - úzwi, zwiī (ŋ́gwi, gwiī)",1,verb
3646,launch,lema’," lima’ - ḿma’, ma’ā",1,verb
3647,law,lepé,lipʉ́é,0,noun
3649,law (Law),lepé,lipʉ́é,0,noun
3651,law (law),adv. ndeŋ ndeŋ,,2,adjective
3652,lawn (grass),mvēŋ,,0,noun
3656,lawyer,pía,,0,noun
3658,lawyer (business) (defender),ntɔknzem,,0,noun
3659,lawyer (defender),ntɔknzem,,0,noun
3660,lay,lenhʉ," linhʉ - ńnhʉ, nhʉɛ̄ (ńnhʉ, nhʉē)",1,verb
3661,laze,lelɔ̄ŋ," lilɔ̄ŋ - ńdɔ́ŋ, lɔ́ŋɔ́",1,verb
3664,laziness,elɔ́ŋ,,2,adjective
3665,lazy,ndɔ́ŋ,,0,noun
3666,lead,lisoŋ," leshuŋ - éshuŋ, shuŋɔ̄ (ńsoŋ, soŋō)",1,verb
3668,lead (have),liwe," lewɛ - ŋ́gwɛ, wiɛ̄ (ŋ́gwe, weē)",1,verb
3672,lead (lead),lisoŋ," leshuŋ - éshuŋ, shuŋɔ̄ (ńsoŋ, soŋō)",1,verb
3674,lean,aŋaŋá,aŋaŋŋ,2,adjective
3678,lean (desert),ŋgɔŋmenyi,kɔ́ŋɔ́ mekwa’né,0,noun
3681,leaning,ligenli," legʉŋne - ŋ́gʉ́ŋné, gʉ́ŋnɛ́ ( ŋ́géŋlí, géŋlá) ",1,verb
3683,learn,lezi’ne," lizi’li - ńzí’né, zí’nɛ́ (ńzí’lí, zí’lá)",1,verb
3684,learning,azi’ne,,0,noun
3685,leaves of raffia,azāŋ,,0,noun
3686,leek,anyósi,ŋyɔ́si,0,noun
3688,left half-open,ligene," legʉŋɛ - ŋ́gʉ́ŋɛ́, gʉ́ŋɛ́ (ŋ́géné, géŋé)",1,verb
3690,leg,akhu,,0,noun
3691,legend (key),ki,,0,noun
3692,legislation (Law),lepé,lipʉ́é,0,noun
3694,lend,lefu," lifu - éfu, fuʉ̄ (ńfu, fuū)",1,verb
3695,leprosy,ŋka’páp,ka’páp / ka’papé,0,noun
3697,let,lecʉ̄’," licʉ̄’ - [0/6] ńcú’, cʉ́’ɛ́ (ńcʉ́’, cʉ́’é)",1,verb
3700,letter,akati,akɛte,0,noun
3703,letter (character),lega,,0,noun
3704,level,nthí,ntshí,0,noun
3706,level (scale),ekɔ̄’,,0,noun
3707,lexicon of cooking techniques (kitchen),kasi,kɛ́siŋ,0,noun
3709,liana raffia,ndʉ,,0,noun
3710,lick,lepeŋ," lipǝŋ - ḿbeŋ, peŋɛ̄ (ḿbǝŋ, pǝŋǝ̄)",1,verb
3712,lid,apá,,0,noun
3715,lie,mela,,0,noun
3721,lie roughly,lemok," limok - ḿmok, mokō (ḿmok, mogō)",1,verb
3723,lift,lepʉ’ɛ," lipʉ ’ǝ - ḿbʉ̄’ɛ́, pʉ̄’ɛ́ (ḿbʉ́’ǝ́, pʉ́’ǝ́)",1,verb
3725,light,gááli,agaanɛ́,2,adjective
3729,light (fire),mmók,,0,noun
3731,Light (low),apwɛl,apwɛlɛ́,2,adjective
3733,light (low),apwɛl,apwɛlɛ́,2,adjective
3735,lighting,ake’ɛ,akɛ’ɛ,0,noun
3737,lightly rake,lekuate," likuati - ŋ́kuatē, kuatɛ̄ (ŋ́kuatī, kuatā)",1,verb
3738,lightning,nnɛ́-mbeŋ,ŋŋímbeŋ,0,noun
3740,like,lifhī," leswhī - éswhí, swhíɛ́ (ńfhí, fhíá)",1,verb
3742,like going to vomit,lewɛ’ne - ŋ́gwɛ́’né,wɛ́’nɛ́,1,verb
3743,lime,sáap,atsagla,0,noun
3745,limestone,mbuŋó,mbuɔ́,0,noun
3747,limit,ndhʉ,ndhʉ / ndhʉe,0,noun
3749,limit the scope,leplɛ,liplɛ,0,noun
3750,limp,leŋī’," liŋyi’ - ŋ́ŋí’ , ŋí’ɛ́ (ŋ́ŋyí’, ŋyí’á)",1,verb
3752,line,ŋkaŋa,,0,noun
3753,linguistic environment (culture),lenāŋ,lināŋ,0,noun
3754,link,lejuŋte," lizoŋ ti - újuŋtē, juŋtɛ̄ (ńzoŋtī, zoŋtā)",1,verb
3759,link (road),mbembɔ́,,0,noun
3760,lion,pu’nte,pʉ’ntʉe / pu’mbīŋ,0,noun
3762,liquefy,lisē," lesɛ̄ - ésɛ́, síɛ́ (ńsé, séé)",1,verb
3764,liquid paraffin (petroleum),aklasíŋ,aklɛsíiŋ,0,noun
3766,listen carefully,lezwi’te," lizwi’ti - ńzwí’té, zwí’tɛ́ (ńzwí’tí, zwí’tá)",1,verb
3767,listen to,leju’," lijū’ - újú’, jú’ɔ́ (ńjú’, jú’ó)",1,verb
3769,listening,yɛ́mba,,7,interjection
3770,little mouse wild red,alup,,0,noun
3771,live,lenāŋ," lināŋ - ńnáŋ, náŋá",1,verb
3772,liver,lepi,lipi,0,noun
3773,lizard,ndopéplɛ́ɛ(plɛ́ɛ),nduŋpɛ́lɛpɛlɛ,0,noun
3775,load,api’,,0,noun
3776,loathe,liŋyali," leŋyaŋne - ŋ́ŋyaŋnē, ŋyaŋnɛ̄ (ŋ́ŋyaŋlī, ŋyaŋlā)",1,verb
3778,loathe (hate),liŋyali," leŋyaŋne - ŋ́ŋyaŋnē, ŋyaŋnɛ̄ (ŋ́ŋyaŋlī, ŋyaŋlā)",1,verb
3781,locale (culture),lenāŋ,lināŋ,0,noun
3783,location of the reinforced by a second closing bamboo,lepimɛ́,,0,noun
3784,lock,ki,,0,noun
3785,long,sisia,,0,noun
3786,look,lepip," lipyɔ̄b - ḿbíp, pípɛ́ (ḿbyɔ̄b, pyɔ̄bá)",1,verb
3788,look (look),lecʉ," licʉ - ńcʉ, cʉʉ̄",1,verb
3792,look (wood),licōp," lecɔ̄p - ńcɔ́p, cɔ́pɔ́ (ńcóp, cóbá)",1,verb
3794,look after a sick,lite," letɛ - ńtɛ, tɛɛ̄ (ńte, teē)",1,verb
3796,look askance at,leŋɔ’ɔ," liŋɔ’ɔ - ŋ́ŋɔ́’ɔ́, ŋɔ́’ɔ́",1,verb
3797,look sick,litse’li," letso’ne - ńtso’nē, tso’nɛ̄ ( ńtse’lī, tselā)",1,verb
3799,lord,ndi,,0,noun
3800,Lord borrowed from Hebrew: Yahweh,yáwɛ,,0,noun
3801,lose,lepī," lipi - ḿbí, píí",1,verb
3802,lose in value,letsap - ńtsap,tsapā,1,verb
3803,lose one's head,legaane," ligaali - ŋ́gááné, gáánɛ́ (ŋ́gáálí, gáálá)",1,verb
3804,lose out,lesa," lisa - ésa, saā (ńsa, saā)",1,verb
3805,loss,pii,pi,0,noun
3806,loss (death),ligwhʉ̄,lewhʉ̄,0,noun
3809,loss (falling),ligwhʉ," lewhʉ - ŋ́gwhʉ, whʉɛ̄ (ŋ́gwhʉ, gwhʉē)",1,verb
3814,lot,atsékɛ́ ŋ́gyā,atsek-ngya,0,noun
3816,lot (all),lezeŋne," lizeŋli - ńzéŋné, zéŋnɛ́ (ńzéŋlí, zéŋlá)",1,verb
3817,lot (band),nno,enɔ,0,noun
3819,lot (fate),mbɔ̄,,0,noun
3820,louse,fó,fɔ́,0,noun
3822,love,lekɔŋ," likɔŋ - ŋ́kɔŋ, kɔŋɔ̄",1,verb
3824,love (pampered),lekokte," likokti - ŋ́kókté, kóktɛ́ (ŋ́kóktí, kóktá)",1,verb
3826,love (pampering),ligǝ ’ti," legʉɔ’te - ŋ́gʉɔ’tē, gʉɔ’tɛ̄ (ŋ́gǝ ’t ī, gǝ’tā)",1,verb
3829,lover,mɛgap,,0,noun
3830,low,ntsēŋ,,0,noun
3833,low (fire),mmók,,0,noun
3834,low (less than),méŋɛgá’,míŋagá’,2,adjective
3838,low (light),mmók,,0,noun
3839,low light,letsaane," litsaali - ńtaanē, tsaanɛ̄ (ńtsaalī, tsaalā)",1,verb
3840,lower,leso’ne," liswe’li - ésó’né, só’nɛ́ (ńswé’lí, swé’lá)",1,verb
3842,lower (less than),méŋɛgá’,míŋagá’,2,adjective
3844,lower (low),ntsēŋ,,0,noun
3847,lowering (down),ligwhʉ," lewhʉ - ŋ́gwhʉ, whʉɛ̄ (ŋ́gwhʉ, gwhʉē)",1,verb
3852,lowering (loss),pii,pi,0,noun
3853,lucille ball (ball),akwɛte,,0,noun
3855,lucille ball (testicle),lepáŋńzeŋ,lipáŋnzeŋ,0,noun
3857,lumps,atswɛ́t,atswɛt / nzwhɛ́,0,noun
3859,lungs,azāŋ,,0,noun
3860,lying around,lesɛtte - ésɛ́tté,sɛ́ttɛ́,1,verb
3861,mace,késeŋ,kʉ́seŋ / seŋ,0,noun
3864,machete,nnɛ́,ŋŋí,0,noun
3866,machine,masiŋ,mesíŋ,0,noun
3868,machine (car),matúa,mɛtúa,0,noun
3870,madness,apia,,0,noun
3871,maggot,ntintwɛt,ntuntwɛt,0,noun
3873,magic,lekaŋ,likaŋ,0,noun
3874,magically transform,lilwɛti," lelwɛtte - ńdwɛ́tté, lwɛ́ttɛ́ (ńdwɛ́tí, lwɛ́tá)",1,verb
3876,magnetic tape (tape),nno,enɔ,0,noun
3878,mahogany,ephʉ,,0,noun
3879,main (large),míá,míɛ́,2,adjective
3881,main language spoken in the department of west Menoua,yémba,,0,noun
3882,maintain (continue),lejuŋ," lizoŋ - újuŋ, juŋɔ̄ (ńzoŋ, zoŋō)",1,verb
3887,major (adult),nduɛ,ndʉʉ / ndʉ́e,0,noun
3889,major (large),míá,míɛ́,2,adjective
3891,majority,ŋkɔ́’ɔ́ lʉ́ee,ŋkɔ’ɔ́luɛ,2,adjective
3895,make (do),leghʉ," lighʉ - ŋ́ghʉ, ghʉɛ̄ (ŋ́ghʉ, ghʉē)",1,verb
3896,make a fetish of prohibition,licop," lecɔp - ńcɔp, cɔpɔ̄ (ńchɔp, cɔbā)",1,verb
3898,make a mess,letuune," lituuli - ńtuunē, tuunɛ̄ (ńtuulī, tuulā)",1,verb
3899,make a physical effort to expel or carry sthg,leŋʉ’te," liŋʉ’ti - ŋ́ŋʉ́’té, ŋʉ́’tɛ́ (ŋ́ŋʉ́’tí, ŋʉ́’tá)",1,verb
3900,make a roulade,lepwɛtte," lipwɛtti - ḿbwɛttē, pwɛttɛ̄ (ḿbwɛttī, pwɛttā)",1,verb
3901,make balls,limooti," lemɔɔte - ḿmɔ́ɔ́té, mɔ́ɔ́tɛ́ (ḿmóótí, móótá)",1,verb
3903,make balls or heaps,likwati," lekwɛtte - ŋ́kwɛ́tté, kwɛ́ttɛ́ (ŋ́kwátí, kwátá)",1,verb
3905,make buttons,lekɔ’te," likɔ ’ti - ŋ́kɔ́’té, kɔ́’tɛ́ (ŋ́kɔ́’tí, kɔ́’tá)",1,verb
3906,make dough,letipne - útípné,típnɛ́,1,verb
3907,make love,letsɔ̄ŋ," litsɔ̄ŋ - ńtsɔ́ŋ, tsɔ́ŋɔ́",1,verb
3908,make small savings,lesi’ne - ésí’né,sí’nɛ́,1,verb
3909,making false jug,lilagli," lelakne - údákné, láknɛ́ (ńdáglí, láglá)",1,verb
3911,Malagasy civet (pit),afeŋ,,0,noun
3914,male flower of maize,mesáŋ ŋ́gesáŋ,,0,noun
3915,malefactor,nzɔŋ,,0,noun
3916,maliciously hide,lilǝǝti," leluɔte - úduɔtē, luɔtɛ̄ (ńdǝǝtī, lǝǝtā)",1,verb
3918,malignant,ŋghī,ŋghi,0,noun
3919,mane,leshɔ́k,,0,noun
3920,manly sort of dance,manzɔŋ,mɛnzɔŋ,0,noun
3922,manufacture,lecuŋte," litsoŋti - ńcuŋtē, cuŋtɛ̄ (ńtsoŋtī, tsoŋtā)",1,verb
3928,manufacture (with bamboo),lepu’," lipu’ - ḿbʉ’, pʉ’ɔ̄",1,verb
3929,manufacturer (manufacturer),mboo,mbɔɔ,0,noun
3931,margouillard,takamelɔgɔ,tekamelɔkɔ,0,noun
3933,marine (box),akʉep,akʉp,0,noun
3935,marine (donkey),njakási,nzika,0,noun
3937,mark,aligli,ayiŋne,0,noun
3941,mark (give),leyā," liyā - ŋ́gyá, yáá",1,verb
3942,mark the astonishment or surprise,yɛ́ɛ,,7,interjection
3943,market sector for a specific product,lewaŋ,liwaŋ,0,noun
3944,marriage,alaaŋ́gya,mɛ́lɛ́ti,0,noun
3946,marrow,epɔŋ,,0,noun
3947,mask,athu ajuŋ,athʉ̄ɔ̄zō,0,noun
3949,mass (all),lezeŋne," lizeŋli - ńzéŋné, zéŋnɛ́ (ńzéŋlí, zéŋlá)",1,verb
3950,Mass (band),nno,enɔ,0,noun
3952,mass (batch),atsékɛ́ ŋ́gyā,atsek-ngya,0,noun
3954,mass (destiny),mbɔ̄,,0,noun
3955,massage,lenwɛt," linwɛt - ńnwɛt, nwɛtɛ̄ (ńnwɛt, nwɛlā)",1,verb
3957,mat,a,mɛ́ta,0,noun
3959,match,matsisi,mɛ́tsíɛ́si,0,noun
3962,match (to follow),lizhɛɛli," lezhɛɛne / lezhone - ńzhɛɛnē, zhɛɛnɛ̄ (ńzhɛɛlī, zhɛɛlā)",1,verb
3964,matter (matter),anhu,anʉ,0,noun
3966,mattress,matlási,mɛtlási,0,noun
3968,mature (adult),nduɛ,ndʉʉ / ndʉ́e,0,noun
3970,maturity (band),nno,enɔ,0,noun
3972,mean (mean),ŋkubli,ŋkumne,0,noun
3974,meander,liŋɛti," leŋɛtte - ŋ́ŋɛ́tté, ŋɛ́ttɛ́ (ŋ́ŋɛ́tí, ŋɛ́tá)",1,verb
3977,meaning,eshhʉ̄,,0,noun
3978,measles,ŋkatú’,meŋkuɛné,0,noun
3980,measure,efʉ’,,0,noun
3983,measured with a box,likɔ̄’," lekʉ̄ɔ̄’ - ŋ́kʉ̄ɔ́’, kʉ̄ɔ́’ɔ́ (ŋ́kǝ́ ’, kǝ́’ǝ́)",1,verb
3985,meat,mbap,,0,noun
3986,medal,ŋkɛndɔ̄,,0,noun
3987,Medical grass species,tsetsɛ’nnēk,,0,noun
3988,meditate (consider),ligu’ti," lewu’te - ŋ́gu’tē, wu’tɛ̄ (ŋ́gu’tī, gu’tā)",1,verb
3990,meditate (think),lefhʉte," lifhʉti - éfhʉte, fhʉtɛ̄ (ńfhʉtī, fhʉtā)",1,verb
3993,meet,lepoote," lipuŋti - ḿbootē, pootɛ̄ ( ḿbuŋtī, puŋtā)",1,verb
3997,meeting,acu’te,,0,noun
3998,meeting place,mbuŋó,mbuɔ́,0,noun
3999,melolontha (beetle),tétɔ́ŋ,,0,noun
4000,melt,lisē," lesɛ̄ - ésɛ́, síɛ́ (ńsé, séé)",1,verb
4002,memory,akimte,akimti / kimti,0,noun
4004,mend,lekwaate," likwaati - ŋ́kwááté, kwáátɛ́ (ŋ́kwáátí, kwáátá)",1,verb
4005,meningitis,sɛtntɔ̄ŋ,azeŋ-ntɔŋ,0,noun
4007,menstruation,saŋ,,0,noun
4008,mental (end),lezokó,lizwegé,0,noun
4012,mentally handicapped,agega,aguga,0,noun
4014,mentally retarded,ageghu,agughu,0,noun
4016,mention (proverb),asoŋli lipu’ / likit,ashuŋnɛ-lēpú’,0,noun
4018,menus,zízí,,2,adjective
4019,merchant,ntaŋsaá,,0,noun
4020,merchant (retailer),ntaŋsaá,,0,noun
4021,mercy,atsá-mézeŋɛ,,0,noun
4022,merit (glory),lipe,lepɛ,0,noun
4024,merit (value),alap,,0,noun
4029,mesmerize (amazing),lekaate - ŋ́kaatē,kaatɛ̄,1,verb
4030,mess,atemne,atemli,0,noun
4031,message,ŋke,ŋkue,0,noun
4035,messing around (child),mó,mɔ́,0,noun
4037,metamorphose,lilwɛti," lelwɛtte - ńdwɛ́tté, lwɛ́ttɛ́ (ńdwɛ́tí, lwɛ́tá)",1,verb
4039,middle,tsetsɛlɛ /tsetsɛtɛ,tsitsɛlɛ,0,noun
4041,middle (bottom),atseŋ,,0,noun
4042,middle of the head,ndo,nduo,0,noun
4044,midge,zézó’,zízwé’,0,noun
4046,midnight,téetsō’,tǝ́tswe’,0,noun
4048,midwife,métswi,,0,noun
4049,midwife (midwife),métswi,,0,noun
4050,migratory locusts,ŋgím,,0,noun
4051,milk,likē," lekɛ̄ - ŋ́kɛ́, kíɛ́ (ŋ́ké, kéé)",1,verb
4053,millipede,aŋeŋoóŋ,aŋéŋɔɔ́ŋ,0,noun
4055,minute hand,ntuntūŋ,,0,noun
4056,miracle,ŋgʉe-anhu,ŋgʉɛnʉ,0,noun
4059,mirror,ajʉeshhʉ́,ajʉɔ́shhʉ̄,0,noun
4061,miser,ŋkubli,ŋkumne,0,noun
4063,miss,lefɔ̄t - éfɔ́t,fɔ́tɔ́,1,verb
4066,miss (something),lekīŋ," litiŋ - ŋ́kíŋ, kíŋɛ́ (ńtíŋ, tíŋá)",1,verb
4068,mist,alo,alɔ,0,noun
4070,mitigate,lipwɛti," lepwɛtte - ḿbwɛ́tté, pwɛ́ttɛ́ (ḿbwɛ́ttí, pwɛ́ttá)",1,verb
4072,mix,lenu’," linu’ - ńnʉ’, nʉ’ɔ̄",1,verb
4077,mixture,atsemte / atemte,,0,noun
4078,moat (fossa),afeŋ,,0,noun
4081,mock,lizooti," lezɔɔte - ńzɔɔtē, zɔɔtɛ̄ (ńzootī, zootā)",1,verb
4083,modality (average),agabli,agapne,2,adjective
4086,modality (diet),ntsho,ntswhɛ,0,noun
4088,modality (way),ntí,ntí / ŋkí,0,noun
4090,mode (average),agabli,agapne,2,adjective
4093,mode (so),ntí,ntí / ŋkí,0,noun
4095,mold (belly),levem,livem,0,noun
4096,moldy,lefem," lifem - éfem, femɛ̄ (ńfem, femā)",1,verb
4097,moldy (e),afemɛ́,afem,2,adjective
4098,molestation,azwa’,,0,noun
4099,monetary unit corresponds to 5 CFA,ndāa / ndōla,,0,noun
4100,money,ŋkāp,,0,noun
4101,mongoose,angée,aŋgɛ́ɛ,0,noun
4103,monitor,lecʉʉte," licʉʉti - [0/6] ńcʉʉtē, cʉʉtɛ̄ (ńcʉʉtī, cʉʉtā)",1,verb
4106,monitor (monitor),lecʉʉte," licʉʉti - [0/6] ńcʉʉtē, cʉʉtɛ̄ (ńcʉʉtī, cʉʉtā)",1,verb
4111,monkey,aŋká,,0,noun
4112,monkfish (defender),ntɔknzem,,0,noun
4113,month,saŋ,,0,noun
4114,moon,méŋwʉ̄,,0,noun
4116,more (in),a,,4,preposition
4117,morning,ndaanjhʉ,nzemɛ́ ńzēm,0,noun
4119,mortar (ustensilee),lepfo’,lipfo ’,0,noun
4120,mortar with base,ŋkat,ŋkɛt,0,noun
4122,Most,ŋkɔ́’ɔ́ lʉ́ee,ŋkɔ’ɔ́luɛ,2,adjective
4124,mother,míá,míɛ́,0,noun
4126,mother of the head,mafo,mefɔ,0,noun
4128,mother of twins,mannɛ,meŋi,0,noun
4130,motivate,legɛɛte," ligɛɛti - ŋ́gɛɛtē, gɛɛtɛ̄ (ŋ́gɛɛtī, gɛɛtā)",1,verb
4131,motorcycle,kwáŋ,,0,noun
4132,Mouflet (child),mó,mɔ́,0,noun
4134,moult (much),ta’,tɛ’,5,adverb
4136,mound,ake,aku,0,noun
4138,mount,lekɔ̄’," likɔ ’ - ŋ́kɔ́’, kɔ́’ɔ́",1,verb
4141,mountain,likwāt,lekwɛ̄t,0,noun
4143,mourn,lilōŋ," lelūŋ - ńdúŋ, lúŋɔ́ (ńdóŋ, lóŋó)",1,verb
4145,mourning,ligwhʉ̄,lewhʉ̄,0,noun
4147,mouse,mbɔ’ŋŋɛ̄,cakhu / tsitsia,0,noun
4150,mouth,nchu,,0,noun
4151,move,lenʉ’ne," linʉ ’li - ńnʉ’nē, nʉ’nɛ̄ (ńnʉ’lī, nʉ’lā)",1,verb
4155,much,ta’,tɛ’,5,adverb
4157,mucus,ntsēŋ,,0,noun
4158,mud,atetɔp,atitɔp,0,noun
4160,multicolored pot for twins,ŋkāŋ,,0,noun
4161,mumble,lezwɛtte," lizwɛtti - ńzwɛ́tté, zwɛ́ttɛ́ (ńzwɛ́ttí, zwɛ́ttá)",1,verb
4162,mumbles,mbulembū,mbulimbu,2,adjective
4164,mumps,kɔ́’leguɔ’,tǝ’ligǝ’,0,noun
4166,murmur,levhoote," livhɔɔti - ḿvhóóté, vhóótɛ́ (ḿvhɔ́ɔ́tí, vhɔ́ɔ́tá)",1,verb
4169,mushroom,epɔ’,,0,noun
4170,music,azɔp,,0,noun
4171,musical instrument,lilóŋ,lelúŋ,0,noun
4173,musical instrument used during funerals or funeral,kwi’fo,tswi’fɔ,0,noun
4175,musical scale (scale),ekɔ̄’,,0,noun
4176,mustache,melhʉ,,0,noun
4177,mutter (crazy),apia,,0,noun
4178,mutter (nuts),atá,,0,noun
4179,mystery,ŋku’ne,ŋku’li,0,noun
4180,nail,mbaŋa,,0,noun
4188,name,lezeŋ,lizeŋ,0,noun
4192,name (name),lezeŋ,lizeŋ,0,noun
4196,namesake,kwi’,tswi’,0,noun
4198,narrow,leŋu’te," liŋu’ti - ŋ́ŋú’té, ŋú’tɛ́ (ŋ́ŋú’tí, ŋú’tá)",1,verb
4199,nasal bleeding,afifí,aswiswí,0,noun
4201,nation (country),alā’,,0,noun
4202,national (domestic),nte,ntǝ,0,noun
4204,native whiskey,ha,haa,0,noun
4206,navel,liton,letɔŋ,0,noun
4208,neck,ntɔ̄ŋ,,0,noun
4209,necklace,ecuŋ ntɔŋ,etsōńtɔ̄ŋ,0,noun
4211,needle,leswá’,liswá’,0,noun
4212,negotiation,ekém,,11,noun adjective
4213,negotiations on limiting strategic arms (ground),esī,,0,noun
4215,negotiations on limiting strategic arms (salt),ŋgwāŋ,,0,noun
4217,negotiations on limiting strategic weapons (ground),esī,,0,noun
4219,neighborhood,akap,,0,noun
4222,nephew etc..,méŋ mīā,miŋmia,0,noun
4224,nervousness,lɔŋ,lɔ́ŋ,0,noun
4225,nest,ŋka,,0,noun
4226,Net income (profit),ape,apɛ,0,noun
4228,network (system),ntsho,ntswhɛ,0,noun
4230,new,fhi,eswh1,2,adjective
4232,newborn,mofi,mɔswī,0,noun
4234,nibble,leloote," liluŋti - údóóté, lóótɛ́ (ńdúŋtí, lúŋtá)",1,verb
4236,niche,ŋka,,0,noun
4237,night,ŋkɔ́’ɔtswɛt,ŋkɔ’ɔ́tswɛt,0,noun
4239,night (dark),nzém,,0,noun
4242,night (night),ŋkɔ́’ɔtswɛt,ŋkɔ’ɔ́tswɛt,0,noun
4244,nightmare,athu tipɔŋ,athʉ̄ɔ̄tepɔŋ,0,noun
4246,nine,fhi,eswh1,2,adjective
4250,nipple (button),mba’a,amba’a,0,noun
4252,no (default),alɔ́’,,0,noun
